Region	Country	Year	Month	Product	Category	Sales	Units
North America	USA	2017	1	Piano	Strings	4515.00	696
North America	USA	2017	1	Violin	Strings	5242.00	573
North America	USA	2017	1	Cello	Strings	6687.00	622
North America	USA	2017	1	Guitar	Strings	6375.00	683
North America	USA	2017	1	Flute	Winds	6145.00	583
North America	USA	2017	1	Oboe	Winds	4838.00	580
North America	USA	2017	1	Clarinet	Winds	2392.00	384
North America	USA	2017	1	Trumpet	Brass	6787.00	324
North America	USA	2017	1	Trombone	Brass	6460.00	372
North America	USA	2017	1	Tuba	Brass	2133.00	348
North America	USA	2017	1	Sax	Winds	3175.00	256
North America	Canada	2017	1	Piano	Strings	4934.00	340
North America	Canada	2017	1	Violin	Strings	4672.00	551
North America	Canada	2017	1	Cello	Strings	5031.00	255
North America	Canada	2017	1	Guitar	Strings	5162.00	649
North America	Canada	2017	1	Flute	Winds	5945.00	442
North America	Canada	2017	1	Oboe	Winds	6946.00	518
North America	Canada	2017	1	Clarinet	Winds	4013.00	407
North America	Canada	2017	1	Trumpet	Brass	2681.00	516
North America	Canada	2017	1	Trombone	Brass	3779.00	693
North America	Canada	2017	1	Tuba	Brass	3898.00	340
North America	Canada	2017	1	Sax	Winds	4637.00	387
Europe	France	2017	1	Piano	Strings	5765.00	596
Europe	France	2017	1	Violin	Strings	3720.00	257
Europe	France	2017	1	Cello	Strings	3101.00	494
Europe	France	2017	1	Guitar	Strings	5041.00	504
Europe	France	2017	1	Flute	Winds	2647.00	669
Europe	France	2017	1	Oboe	Winds	4883.00	649
Europe	France	2017	1	Clarinet	Winds	6577.00	625
Europe	France	2017	1	Trumpet	Brass	3440.00	542
Europe	France	2017	1	Trombone	Brass	2266.00	304
Europe	France	2017	1	Tuba	Brass	2709.00	488
Europe	France	2017	1	Sax	Winds	3304.00	288
Europe	Germany	2017	1	Piano	Strings	5628.00	514
Europe	Germany	2017	1	Violin	Strings	6763.00	609
Europe	Germany	2017	1	Cello	Strings	6468.00	243
Europe	Germany	2017	1	Guitar	Strings	6712.00	204
Europe	Germany	2017	1	Flute	Winds	2475.00	408
Europe	Germany	2017	1	Oboe	Winds	3982.00	479
Europe	Germany	2017	1	Clarinet	Winds	6759.00	483
Europe	Germany	2017	1	Trumpet	Brass	2184.00	509
Europe	Germany	2017	1	Trombone	Brass	2433.00	440
Europe	Germany	2017	1	Tuba	Brass	4971.00	352
Europe	Germany	2017	1	Sax	Winds	3007.00	631
Europe	UK	2017	1	Piano	Strings	4557.00	501
Europe	UK	2017	1	Violin	Strings	4028.00	300
Europe	UK	2017	1	Cello	Strings	6480.00	451
Europe	UK	2017	1	Guitar	Strings	5967.00	211
Europe	UK	2017	1	Flute	Winds	5620.00	395
Europe	UK	2017	1	Oboe	Winds	3366.00	408
Europe	UK	2017	1	Clarinet	Winds	3462.00	541
Europe	UK	2017	1	Trumpet	Brass	5222.00	598
Europe	UK	2017	1	Trombone	Brass	6616.00	566
Europe	UK	2017	1	Tuba	Brass	6633.00	658
Europe	UK	2017	1	Sax	Winds	6576.00	675
Europe	Spain	2017	1	Piano	Strings	6683.00	268
Europe	Spain	2017	1	Violin	Strings	5741.00	306
Europe	Spain	2017	1	Cello	Strings	2589.00	671
Europe	Spain	2017	1	Guitar	Strings	4679.00	444
Europe	Spain	2017	1	Flute	Winds	5087.00	551
Europe	Spain	2017	1	Oboe	Winds	5643.00	571
Europe	Spain	2017	1	Clarinet	Winds	5075.00	545
Europe	Spain	2017	1	Trumpet	Brass	2336.00	231
Europe	Spain	2017	1	Trombone	Brass	6503.00	376
Europe	Spain	2017	1	Tuba	Brass	5925.00	230
Europe	Spain	2017	1	Sax	Winds	5511.00	606
Africa	Egypt	2017	1	Piano	Strings	2312.00	454
Africa	Egypt	2017	1	Violin	Strings	5824.00	524
Africa	Egypt	2017	1	Cello	Strings	5642.00	316
Africa	Egypt	2017	1	Guitar	Strings	5391.00	652
Africa	Egypt	2017	1	Flute	Winds	3077.00	323
Africa	Egypt	2017	1	Oboe	Winds	4274.00	379
Africa	Egypt	2017	1	Clarinet	Winds	5803.00	277
Africa	Egypt	2017	1	Trumpet	Brass	3791.00	214
Africa	Egypt	2017	1	Trombone	Brass	6302.00	587
Africa	Egypt	2017	1	Tuba	Brass	6905.00	675
Africa	Egypt	2017	1	Sax	Winds	6867.00	224
Africa	Morocco	2017	1	Piano	Strings	4865.00	293
Africa	Morocco	2017	1	Violin	Strings	4365.00	283
Africa	Morocco	2017	1	Cello	Strings	5096.00	248
Africa	Morocco	2017	1	Guitar	Strings	6252.00	683
Africa	Morocco	2017	1	Flute	Winds	5342.00	622
Africa	Morocco	2017	1	Oboe	Winds	2842.00	487
Africa	Morocco	2017	1	Clarinet	Winds	4054.00	286
Africa	Morocco	2017	1	Trumpet	Brass	5822.00	345
Africa	Morocco	2017	1	Trombone	Brass	2031.00	407
Africa	Morocco	2017	1	Tuba	Brass	3016.00	565
Africa	Morocco	2017	1	Sax	Winds	5314.00	579
Asia	Japan	2017	1	Piano	Strings	4401.00	311
Asia	Japan	2017	1	Violin	Strings	4321.00	583
Asia	Japan	2017	1	Cello	Strings	4372.00	421
Asia	Japan	2017	1	Guitar	Strings	4242.00	268
Asia	Japan	2017	1	Flute	Winds	5261.00	351
Asia	Japan	2017	1	Oboe	Winds	6677.00	559
Asia	Japan	2017	1	Clarinet	Winds	2098.00	249
Asia	Japan	2017	1	Trumpet	Brass	2528.00	593
Asia	Japan	2017	1	Trombone	Brass	3630.00	647
Asia	Japan	2017	1	Tuba	Brass	6141.00	473
Asia	Japan	2017	1	Sax	Winds	4585.00	282
Asia	China	2017	1	Piano	Strings	5693.00	651
Asia	China	2017	1	Violin	Strings	4187.00	543
Asia	China	2017	1	Cello	Strings	4835.00	438
Asia	China	2017	1	Guitar	Strings	5926.00	541
Asia	China	2017	1	Flute	Winds	5584.00	636
Asia	China	2017	1	Oboe	Winds	3567.00	301
Asia	China	2017	1	Clarinet	Winds	2460.00	295
Asia	China	2017	1	Trumpet	Brass	3420.00	587
Asia	China	2017	1	Trombone	Brass	2879.00	595
Asia	China	2017	1	Tuba	Brass	2855.00	344
Asia	China	2017	1	Sax	Winds	3793.00	359
Asia	India	2017	1	Piano	Strings	5067.00	270
Asia	India	2017	1	Violin	Strings	4581.00	678
Asia	India	2017	1	Cello	Strings	5091.00	510
Asia	India	2017	1	Guitar	Strings	6189.00	674
Asia	India	2017	1	Flute	Winds	2070.00	478
Asia	India	2017	1	Oboe	Winds	6522.00	384
Asia	India	2017	1	Clarinet	Winds	2768.00	302
Asia	India	2017	1	Trumpet	Brass	2084.00	261
Asia	India	2017	1	Trombone	Brass	6337.00	391
Asia	India	2017	1	Tuba	Brass	5865.00	315
Asia	India	2017	1	Sax	Winds	5332.00	636
Asia	Thailand	2017	1	Piano	Strings	6488.00	364
Asia	Thailand	2017	1	Violin	Strings	2977.00	225
Asia	Thailand	2017	1	Cello	Strings	3597.00	424
Asia	Thailand	2017	1	Guitar	Strings	6681.00	592
Asia	Thailand	2017	1	Flute	Winds	4494.00	208
Asia	Thailand	2017	1	Oboe	Winds	2803.00	485
Asia	Thailand	2017	1	Clarinet	Winds	2035.00	267
Asia	Thailand	2017	1	Trumpet	Brass	2667.00	664
Asia	Thailand	2017	1	Trombone	Brass	3768.00	242
Asia	Thailand	2017	1	Tuba	Brass	4831.00	218
Asia	Thailand	2017	1	Sax	Winds	2324.00	250
Europe	Italy	2017	1	Piano	Strings	3597.00	511
Europe	Italy	2017	1	Violin	Strings	2058.00	391
Europe	Italy	2017	1	Cello	Strings	3781.00	257
Europe	Italy	2017	1	Guitar	Strings	6938.00	380
Europe	Italy	2017	1	Flute	Winds	6727.00	206
Europe	Italy	2017	1	Oboe	Winds	4688.00	308
Europe	Italy	2017	1	Clarinet	Winds	2574.00	475
Europe	Italy	2017	1	Trumpet	Brass	2177.00	519
Europe	Italy	2017	1	Trombone	Brass	3770.00	485
Europe	Italy	2017	1	Tuba	Brass	2061.00	623
Europe	Italy	2017	1	Sax	Winds	4837.00	536
South America	Mexico	2017	1	Piano	Strings	5672.00	626
South America	Mexico	2017	1	Violin	Strings	3389.00	499
South America	Mexico	2017	1	Cello	Strings	2159.00	690
South America	Mexico	2017	1	Guitar	Strings	2397.00	640
